Наименование;Артикул;Длина/высота;Ширина;Ссылка;Место;Цена
Кровать;9997;205,00;125,00;https://www.ozon.ru/product/odnospalnaya-krovat-mars-120h200-sm-315268487/?asb=1EsEi%252BvcMtqRjsoklWGA%252Bt9cYrO9tx6poqQnBoz1iUQ%253D&asb2=UqkSM3umQGlLwNx_S2xd2wTAeQZT5X6Th_NI0A_oy-qKW6r4ItNDyVD-zoyxo6dA&keywords=%D0%BA%D1%80%D0%BE%D0%B2%D0%B0%D1%82%D1%8C&sh=pwr9D5zY#section-description--offset-140;спальня;5940,00
Шкаф;РЕГ0006 ;201,00;90,00;https://www.ozon.ru/product/shkaf-raspashnoy-2-h-stv-2-shimo-90h52h201-6-sm-247882455/?asb=ioi%252BTYibsefkC56dSMWLCs5Hhr%252BY4Uy4fIY7S%252B%252FwJ0Y%253D&asb2=uab_ZrFM3ZCYBV6GQSbRjV1LJS3wCEaVy42PuC4UkUA&keywords=%D1%88%D0%BA%D0%B0%D1%84&sh=eB69kR1o;спальня;7940,00
Тумбочка;10000018481;43,00;50,00;https://www.ozon.ru/product/tumba-prikrovatnaya-mebelnaya-set-alesya-valensiya-tb-011-2-yashch-50h45h43-sm-323265664/?advert=VMIlTX2rB9CTByLI-6e6mtTIVVh07P6WszbNc2t0cOfjcdLeTHnb4wA2-lMZRJJ-rQGnhEr5zP8X5DEuO3MFgAil47gwFsrcsQCalkzQQPFSliHsGQaErkIpVt7khPGT6f-knBeuRVzut6Epdk3DOx4yYVuCwWvnVTr0yQaNXhCn9w&hs=1&sh=-7Cg5NqX;спальня;2565,00
Диван;30432;76,00;190,00;https://www.ozon.ru/product/divan-divan-krovat-versal-mehanizm-vykatnoy-190h190h76-sm-310129131/?advert=4fl6CCc4J5aAtMkbF5MqNnGoFsfibbi6vckND25xC1rp2qHvYGjxImclNEV9QACc8VMKJ9HL1qbN1BDIoVT2DYRuKrEZL3J9WujT6vr2-A8wpkSCXr_sQEugbEGFpw7gN7DFsEn8sYH4vHDimy7PILzaLlHdd1twhsTL&hs=1&sh=EBpcYe1X;гостиная;36900,00
Книжный шкаф;1198386;220,00;160,00;https://www.ozon.ru/product/shkaf-knizhnyy-biblioteka-53-160h32h220-sm-mebelayn-335457747/?asb=%252FrV40%252FQmqgnOlv8h4k9q1nEqHTBC6qZGPxb%252BvPIWXx8%253D&asb2=OSLNThnAC956PK45ipz7F2jARndGzO7Rq_1zmil5PQ4&keywords=%D1%88%D0%BA%D0%B0%D1%84+%D0%B4%D0%BB%D1%8F+%D0%BA%D0%BD%D0%B8%D0%B3&sh=Dv_gzzeO;гостиная;30107,00
Журнальный стол;10042;50,00;62,00;https://www.ozon.ru/product/zhurnalnyy-stol-prima-62h51-6h50-sm-178461930/?asb=SbcCALUPL0eB3cSoUa0man%252B4Yrs6HLs64KXIwT2p2K4%253D&asb2=4JJz3R94tR5LOPMmpIQkNqojVc7qYvGFjiJoURPAUfiVXstSRZDwLMWilJmi61i_&keywords=%D0%B6%D1%83%D1%80%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9+%D1%81%D1%82%D0%BE%D0%BB%D0%B8%D0%BA&sh=lopcseKt;гостиная;1899,00
